,status,card_present_flag,bpay_biller_code,account,txn_description,first_name,balance,date,gender,age,merchant_suburb,merchant_state,extraction,amount,customer_id,movement,long,lat,merchant_long,merchant_lat,year_month,weekday,distance
10,posted,,,ACC-2171593283,PAYMENT,Fernando,4348.5,2018-08-01,M,19,,,2018-08-01T06:00:00.000+0000,27.0,CUS-2317998716,debit,146.94,-36.04,,,2018-08,Wednesday,
11,posted,,,ACC-2776252858,PAYMENT,Kristin,1203.75,2018-08-01,F,43,,,2018-08-01T06:00:00.000+0000,29.0,CUS-4123612273,debit,144.95,-37.76,,,2018-08,Wednesday,
12,authorized,1.0,,ACC-182446574,SALES-POS,Tonya,207.08,2018-08-01,F,27,Cockburn Central,WA,2018-08-01T06:06:40.000+0000,6.08,CUS-3026014945,debit,116.06,-32.0,115.86,-32.13,2018-08,Wednesday,23.751501845737025
13,posted,,,ACC-588564840,INTER BANK,Isaiah,4438.16,2018-08-01,M,23,,,2018-08-01T07:00:00.000+0000,25.0,CUS-1462656821,debit,151.27,-33.76,,,2018-08,Wednesday,
14,posted,,,ACC-1496451953,INTER BANK,Ricky,173.66,2018-08-01,M,43,,,2018-08-01T07:00:00.000+0000,39.0,CUS-3142625864,debit,145.16,-37.84,,,2018-08,Wednesday,
15,authorized,1.0,,ACC-1903037542,POS,Jeffrey,2.85,2018-08-01,M,30,Mount Ommaney,QLD,2018-08-01T07:20:48.000+0000,10.79,CUS-860700529,debit,153.05,-27.61,152.94,-27.55,2018-08,Wednesday,12.730023650373788
16,posted,,,ACC-2014856841,INTER BANK,Patrick,260514.83,2018-08-01,M,46,,,2018-08-01T08:00:00.000+0000,22.0,CUS-2370108457,debit,144.99,-37.9,,,2018-08,Wednesday,
17,posted,,,ACC-4163822186,PAYMENT,Karen,3117.94,2018-08-01,F,26,,,2018-08-01T08:00:00.000+0000,55.0,CUS-2630892467,debit,149.03,-34.97,,,2018-08,Wednesday,
18,posted,,,ACC-3954677887,PAYMENT,Ruth,38.31,2018-08-01,F,47,,,2018-08-01T08:00:00.000+0000,58.0,CUS-3716701010,debit,115.72,-32.28,,,2018-08,Wednesday,
19,authorized,1.0,,ACC-4258502723,POS,Kimberly,708.28,2018-08-01,F,24,Brunswick,VIC,2018-08-01T08:00:11.000+0000,7.37,CUS-3378712515,debit,145.45,-37.74,144.96,-37.78,2018-08,Wednesday,43.303389476352905
20,authorized,1.0,,ACC-1598451071,POS,Diana,3.85,2018-08-01,F,26,Byron Bay,NSW,2018-08-01T08:09:42.000+0000,14.1,CUS-2487424745,debit,153.41,-27.95,153.6,-28.63,2018-08,Wednesday,77.86736719979137
21,authorized,0.0,,ACC-2890243754,POS,Joseph,275.93,2018-08-01,M,37,Lismore,NSW,2018-08-01T08:19:14.000+0000,24.77,CUS-2695611575,debit,153.32,-27.93,153.28,-28.81,2018-08,Wednesday,97.92970445224186
22,authorized,1.0,,ACC-3481401842,SALES-POS,Tiffany,259.37,2018-08-01,F,25,Fremantle,WA,2018-08-01T08:28:45.000+0000,13.67,CUS-1669695324,debit,115.74,-31.72,115.76,-32.06,2018-08,Wednesday,37.85364809483375
23,authorized,0.0,,ACC-2615038700,POS,Emily,30583.15,2018-08-01,F,43,Mordialloc,VIC,2018-08-01T08:47:48.000+0000,12.08,CUS-3255104878,debit,145.35,-38.03,145.09,-38.01,2018-08,Wednesday,22.884879048197693
24,authorized,1.0,,ACC-966140392,POS,Joseph,793.64,2018-08-01,M,21,Chatswood,NSW,2018-08-01T08:57:20.000+0000,72.12,CUS-537508723,debit,147.08,-37.97,151.18,-33.8,2018-08,Wednesday,592.6708459427617
25,posted,,,ACC-354106658,INTER BANK,Christine,4474.38,2018-08-01,F,39,,,2018-08-01T09:00:00.000+0000,25.0,CUS-2376382098,debit,151.04,-33.8,,,2018-08,Wednesday,
26,posted,,,ACC-1443681913,PAYMENT,Ryan,586.2,2018-08-01,M,31,,,2018-08-01T09:00:00.000+0000,36.0,CUS-3129499595,debit,150.92,-33.77,,,2018-08,Wednesday,
27,authorized,1.0,,ACC-1710017148,SALES-POS,Michelle,1636.91,2018-08-01,F,19,Granville,NSW,2018-08-01T09:02:54.000+0000,17.96,CUS-883482547,debit,150.82,-34.01,151.0,-33.83,2018-08,Wednesday,26.00806783579919
28,authorized,1.0,,ACC-2673069055,SALES-POS,Richard,11525.54,2018-08-01,M,24,Pacific Paradise,QLD,2018-08-01T09:06:57.000+0000,14.49,CUS-51506836,debit,152.99,-27.49,153.08,-26.61,2018-08,Wednesday,98.2564695320317
29,authorized,0.0,,ACC-1710017148,SALES-POS,Michelle,1625.34,2018-08-01,F,19,Alexandria,NSW,2018-08-01T09:11:00.000+0000,11.57,CUS-883482547,debit,150.82,-34.01,151.19,-33.92,2018-08,Wednesday,35.55921581168867
30,authorized,1.0,,ACC-1037050564,POS,Rhonda,2072.1,2018-08-01,F,40,North Lakes,QLD,2018-08-01T09:15:03.000+0000,45.12,CUS-1614226872,debit,153.1,-27.66,152.99,-27.21,2018-08,Wednesday,51.201862115577235
31,authorized,0.0,,ACC-3485804958,POS,Jessica,12529.59,2018-08-01,F,34,Findon,SA,2018-08-01T09:19:06.000+0000,33.89,CUS-1196156254,debit,138.52,-35.01,138.53,-34.9,2018-08,Wednesday,12.264954655665642
32,authorized,1.0,,ACC-4258502723,SALES-POS,Kimberly,698.61,2018-08-01,F,24,Doncaster,VIC,2018-08-01T09:23:09.000+0000,9.67,CUS-3378712515,debit,145.45,-37.74,145.13,-37.78,2018-08,Wednesday,28.479509932902953
33,authorized,1.0,,ACC-3100725361,POS,Ronald,2086.31,2018-08-01,M,25,Smithfield,QLD,2018-08-01T09:27:12.000+0000,4.38,CUS-2178051368,debit,145.73,-17.03,145.7,-16.81,2018-08,Wednesday,24.670302170872304
34,authorized,1.0,,ACC-1990648130,POS,Kaitlyn,1689.89,2018-08-01,F,21,Alstonville,NSW,2018-08-01T09:39:21.000+0000,28.49,CUS-809013380,debit,114.62,-28.8,153.44,-28.84,2018-08,Wednesday,3764.5329992483485
35,authorized,1.0,,ACC-1990648130,POS,Kaitlyn,1675.46,2018-08-01,F,21,Leonora,WA,2018-08-01T09:43:24.000+0000,14.43,CUS-809013380,debit,114.62,-28.8,121.33,-28.9,2018-08,Wednesday,653.5215493062065
36,authorized,1.0,,ACC-2673069055,SALES-POS,Richard,11438.51,2018-08-01,M,24,Greenslopes,QLD,2018-08-01T09:47:26.000+0000,87.03,CUS-51506836,debit,152.99,-27.49,153.05,-27.51,2018-08,Wednesday,6.321727690861172
37,authorized,1.0,,ACC-154431271,POS,Lori,38.42,2018-08-01,F,18,Browns Plains,QLD,2018-08-01T09:51:29.000+0000,36.28,CUS-3702001629,debit,153.09,-27.48,153.05,-27.66,2018-08,Wednesday,20.3996311960786
38,authorized,0.0,,ACC-3689607373,POS,Virginia,1089.59,2018-08-01,F,20,West Perth,WA,2018-08-01T09:55:32.000+0000,15.91,CUS-127297539,debit,115.79,-31.79,115.84,-31.95,2018-08,Wednesday,18.406933883427754
39,authorized,1.0,,ACC-721712940,POS,Andrew,49756.21,2018-08-01,M,78,Preston,VIC,2018-08-01T09:59:35.000+0000,25.7,CUS-1646183815,debit,145.09,-37.82,145.03,-37.74,2018-08,Wednesday,10.34074395933731
40,posted,,,ACC-1037050564,PAYMENT,Rhonda,2040.1,2018-08-01,F,40,,,2018-08-01T10:00:00.000+0000,32.0,CUS-1614226872,debit,153.1,-27.66,,,2018-08,Wednesday,
41,posted,,,ACC-1799207998,INTER BANK,Susan,137.14,2018-08-01,F,20,,,2018-08-01T10:00:00.000+0000,39.0,CUS-164374203,debit,150.68,-33.79,,,2018-08,Wednesday,
42,posted,,,ACC-2107684084,PAYMENT,Richard,292.77,2018-08-01,M,22,,,2018-08-01T10:00:00.000+0000,34.0,CUS-2283904812,debit,145.03,-37.88,,,2018-08,Wednesday,
43,posted,,,ACC-2173390920,PAYMENT,Luis,28.04,2018-08-01,M,27,,,2018-08-01T10:00:00.000+0000,29.0,CUS-3180318393,debit,144.71,-37.58,,,2018-08,Wednesday,
44,posted,,,ACC-1243371644,PAYMENT,Gregory,754.2,2018-08-01,M,42,,,2018-08-01T10:00:00.000+0000,150.0,CUS-3904958894,debit,150.9,-33.78,,,2018-08,Wednesday,
45,posted,,,ACC-966140392,PAYMENT,Joseph,763.64,2018-08-01,M,21,,,2018-08-01T10:00:00.000+0000,30.0,CUS-537508723,debit,147.08,-37.97,,,2018-08,Wednesday,
46,authorized,1.0,,ACC-1683215619,SALES-POS,Barry,301.65,2018-08-01,M,38,Bomaderry,NSW,2018-08-01T10:12:51.000+0000,20.43,CUS-1604596597,debit,138.67,-34.86,150.6,-34.84,2018-08,Wednesday,1087.9979499772662
47,authorized,0.0,,ACC-2901672282,SALES-POS,Daniel,1290.08,2018-08-01,M,22,Sydney,NSW,2018-08-01T10:27:08.000+0000,31.62,CUS-1617121891,debit,255.0,-573.0,151.21,-33.87,2018-08,Wednesday,10886.648360479685
48,authorized,1.0,,ACC-1652235822,SALES-POS,Renee,18784.07,2018-08-01,F,38,Doncaster,VIC,2018-08-01T10:41:25.000+0000,16.13,CUS-2206365095,debit,144.89,-37.81,145.13,-37.78,2018-08,Wednesday,21.350849756696018
49,authorized,1.0,,ACC-2615038700,POS,Emily,29645.42,2018-08-01,F,43,Dandenong South,VIC,2018-08-01T10:55:42.000+0000,937.73,CUS-3255104878,debit,145.35,-38.03,145.21,-38.03,2018-08,Wednesday,12.262117353121232
50,posted,,0,ACC-588564840,PAY/SALARY,Isaiah,8342.11,2018-08-01,M,23,,,2018-08-01T11:00:00.000+0000,3903.95,CUS-1462656821,credit,151.27,-33.76,,,2018-08,Wednesday,
51,posted,,,ACC-2901672282,PAYMENT,Daniel,1195.08,2018-08-01,M,22,,,2018-08-01T11:00:00.000+0000,95.0,CUS-1617121891,debit,255.0,-573.0,,,2018-08,Wednesday,
52,authorized,1.0,,ACC-602667573,POS,Michael,454.94,2018-08-01,M,40,Margaret River,WA,2018-08-01T11:04:45.000+0000,11.64,CUS-2031327464,debit,151.23,-33.96,115.07,-33.95,2018-08,Wednesday,3317.4427722189757
53,authorized,1.0,,ACC-414431115,POS,Amy,27.86,2018-08-01,F,43,Robinvale,VIC,2018-08-01T11:11:33.000+0000,28.0,CUS-2599279756,debit,142.77,-37.06,142.77,-34.58,2018-08,Wednesday,275.76336717750775
54,authorized,1.0,,ACC-1243371644,POS,Gregory,689.22,2018-08-01,M,42,Chatswood,NSW,2018-08-01T11:18:22.000+0000,64.98,CUS-3904958894,debit,150.9,-33.78,151.2,-33.79,2018-08,Wednesday,27.74780492802736
55,authorized,1.0,,ACC-602667573,SALES-POS,Michael,440.66,2018-08-01,M,40,Chatswood,NSW,2018-08-01T11:25:10.000+0000,14.28,CUS-2031327464,debit,151.23,-33.96,151.18,-33.8,2018-08,Wednesday,18.38024480662167
56,authorized,1.0,,ACC-2615038700,SALES-POS,Emily,29143.75,2018-08-01,F,43,Mossman Gorge,QLD,2018-08-01T11:31:58.000+0000,501.67,CUS-3255104878,debit,145.35,-38.03,145.35,-16.47,2018-08,Wednesday,2397.362559072189
57,authorized,1.0,,ACC-1334819143,POS,Christopher,58154.74,2018-08-01,M,33,Rockbank,VIC,2018-08-01T11:38:46.000+0000,17.97,CUS-3117610635,debit,145.13,-37.7,144.63,-37.7,2018-08,Wednesday,43.98996870110403
58,authorized,0.0,,ACC-4258502723,POS,Kimberly,589.1,2018-08-01,F,24,Sydney,NSW,2018-08-01T11:45:34.000+0000,109.51,CUS-3378712515,debit,145.45,-37.74,151.21,-33.87,2018-08,Wednesday,674.2827450968443
59,authorized,0.0,,ACC-3100725361,POS,Ronald,2058.92,2018-08-01,M,25,Cobram,VIC,2018-08-01T11:52:22.000+0000,27.39,CUS-2178051368,debit,145.73,-17.03,145.65,-35.92,2018-08,Wednesday,2100.486738317082
60,authorized,1.0,,ACC-3541460373,POS,Jeffrey,1109.58,2018-08-01,M,24,Kilsyth,VIC,2018-08-01T11:59:11.000+0000,27.39,CUS-1433879684,debit,145.0,-37.83,145.32,-37.8,2018-08,Wednesday,28.30778421933705
61,posted,,0,ACC-1650504218,PAY/SALARY,Marissa,2040.58,2018-08-01,F,23,,,2018-08-01T12:00:00.000+0000,1626.48,CUS-2500783281,credit,145.01,-37.93,,,2018-08,Wednesday,
62,posted,,,ACC-4163822186,PAYMENT,Karen,3071.94,2018-08-01,F,26,,,2018-08-01T12:00:00.000+0000,46.0,CUS-2630892467,debit,149.03,-34.97,,,2018-08,Wednesday,
63,posted,,,ACC-182446574,INTER BANK,Tonya,150.08,2018-08-01,F,27,,,2018-08-01T12:00:00.000+0000,57.0,CUS-3026014945,debit,116.06,-32.0,,,2018-08,Wednesday,
64,posted,,0,ACC-3326339947,PAY/SALARY,Eric,3158.51,2018-08-01,M,22,,,2018-08-01T12:00:00.000+0000,983.36,CUS-326006476,credit,151.18,-33.8,,,2018-08,Wednesday,
65,posted,,,ACC-3879258709,PAYMENT,Natasha,186371.86,2018-08-01,F,40,,,2018-08-01T12:00:00.000+0000,170.0,CUS-527400765,debit,143.83,-37.66,,,2018-08,Wednesday,
66,authorized,1.0,,ACC-2249586092,POS,Edward,4172.16,2018-08-01,M,19,Ceduna,SA,2018-08-01T12:15:26.000+0000,3.28,CUS-443776336,debit,115.98,-32.07,133.67,-32.11,2018-08,Wednesday,1664.6286739990094
67,authorized,1.0,,ACC-3827517394,POS,Craig,30163.44,2018-08-01,M,28,Bass Hill,NSW,2018-08-01T12:50:31.000+0000,33.45,CUS-2663907001,debit,151.12,-33.89,150.99,-33.9,2018-08,Wednesday,12.049294037382335
68,posted,,0,ACC-3541460373,PAY/SALARY,Jeffrey,2517.66,2018-08-01,M,24,,,2018-08-01T13:00:00.000+0000,1408.08,CUS-1433879684,credit,145.0,-37.83,,,2018-08,Wednesday,
69,posted,,,ACC-3100725361,INTER BANK,Ronald,2032.92,2018-08-01,M,25,,,2018-08-01T13:00:00.000+0000,26.0,CUS-2178051368,debit,145.73,-17.03,,,2018-08,Wednesday,
70,posted,,0,ACC-2776252858,PAY/SALARY,Kristin,2271.79,2018-08-01,F,43,,,2018-08-01T13:00:00.000+0000,1068.04,CUS-4123612273,credit,144.95,-37.76,,,2018-08,Wednesday,
71,authorized,0.0,,ACC-2615038700,POS,Emily,29128.11,2018-08-01,F,43,Lara,VIC,2018-08-01T13:45:33.000+0000,15.64,CUS-3255104878,debit,145.35,-38.03,144.4,-38.02,2018-08,Wednesday,83.22140709035297
72,posted,,0,ACC-1598451071,PAY/SALARY,Diana,1017.52,2018-08-01,F,26,,,2018-08-01T14:00:00.000+0000,1013.67,CUS-2487424745,credit,153.41,-27.95,,,2018-08,Wednesday,
73,authorized,1.0,,ACC-1799207998,POS,Susan,119.88,2018-08-01,F,20,Minchinbury,NSW,2018-08-01T14:01:55.000+0000,17.26,CUS-164374203,debit,150.68,-33.79,150.83,-33.79,2018-08,Wednesday,13.862652458195477
74,authorized,0.0,,ACC-4258502723,SALES-POS,Kimberly,538.85,2018-08-01,F,24,Melbourne,VIC,2018-08-01T14:10:42.000+0000,50.25,CUS-3378712515,debit,145.45,-37.74,144.96,-37.81,2018-08,Wednesday,43.76339882845548
75,authorized,1.0,,ACC-958000567,POS,Sandra,486.68,2018-08-01,F,34,Stuart Park,NT,2018-08-01T14:19:28.000+0000,22.25,CUS-4142663097,debit,130.9,-12.37,130.84,-12.44,2018-08,Wednesday,10.15079051162441
76,authorized,1.0,,ACC-1037050564,SALES-POS,Rhonda,2029.05,2018-08-01,F,40,Port Macquarie,NSW,2018-08-01T14:28:14.000+0000,11.05,CUS-1614226872,debit,153.1,-27.66,152.92,-31.43,2018-08,Wednesday,419.5661753410427
77,authorized,1.0,,ACC-1710017148,POS,Michelle,1609.16,2018-08-01,F,19,Blacktown,NSW,2018-08-01T14:37:01.000+0000,16.18,CUS-883482547,debit,150.82,-34.01,150.91,-33.77,2018-08,Wednesday,27.949562011983094
78,authorized,0.0,,ACC-602667573,SALES-POS,Michael,429.2,2018-08-01,M,40,Brookvale,NSW,2018-08-01T14:45:47.000+0000,11.46,CUS-2031327464,debit,151.23,-33.96,151.27,-33.77,2018-08,Wednesday,21.447401420722375
79,posted,,,ACC-2305712452,PAYMENT,Debra,86.91,2018-08-01,F,18,,,2018-08-01T15:00:00.000+0000,36.0,CUS-1842679196,debit,138.61,-34.89,,,2018-08,Wednesday,
80,posted,,,ACC-38923874,PAYMENT,Ryan,28453.87,2018-08-01,M,38,,,2018-08-01T15:00:00.000+0000,35.0,CUS-3249305314,debit,151.27,-33.9,,,2018-08,Wednesday,
81,authorized,0.0,,ACC-819621312,POS,Michele,86.3,2018-08-01,F,30,Windsor,VIC,2018-08-01T15:02:21.000+0000,5.29,CUS-1271030853,debit,145.04,-37.85,144.99,-37.86,2018-08,Wednesday,4.527448801337494
82,authorized,1.0,,ACC-1710017148,SALES-POS,Michelle,1602.58,2018-08-01,F,19,Hurstville,NSW,2018-08-01T15:08:34.000+0000,6.58,CUS-883482547,debit,150.82,-34.01,151.1,-33.97,2018-08,Wednesday,26.194967557552825
83,authorized,1.0,,ACC-1973887809,SALES-POS,Antonio,713.56,2018-08-01,M,26,O'connor,WA,2018-08-01T15:27:12.000+0000,16.03,CUS-1646621553,debit,115.78,-31.9,115.8,-32.07,2018-08,Wednesday,18.99706559739792
84,authorized,1.0,,ACC-1516130869,POS,Jessica,143.4,2018-08-01,F,21,Coconut Grove,NT,2018-08-01T15:33:24.000+0000,32.41,CUS-325142416,debit,130.84,-12.45,130.85,-12.4,2018-08,Wednesday,5.6650252006407795
85,authorized,1.0,,ACC-966140392,SALES-POS,Joseph,750.75,2018-08-01,M,21,Wheelers Hill,VIC,2018-08-01T15:39:37.000+0000,12.89,CUS-537508723,debit,147.08,-37.97,145.16,-37.91,2018-08,Wednesday,168.50229955426585
86,authorized,1.0,,ACC-1973887809,POS,Antonio,697.46,2018-08-01,M,26,Taree,NSW,2018-08-01T15:45:50.000+0000,16.1,CUS-1646621553,debit,115.78,-31.9,152.46,-31.91,2018-08,Wednesday,3445.463158428914
87,authorized,1.0,,ACC-1056639002,SALES-POS,Michael,39595.08,2018-08-01,M,22,Carlton North,VIC,2018-08-01T15:52:02.000+0000,39.92,CUS-3462882033,debit,145.03,-37.91,144.98,-37.78,2018-08,Wednesday,15.107551117731322
88,authorized,1.0,,ACC-1279356312,POS,Tyler,1082.64,2018-08-01,M,44,Doncaster East,VIC,2018-08-01T15:58:15.000+0000,8.1,CUS-1892177589,debit,144.79,-37.73,145.17,-37.76,2018-08,Wednesday,33.57861365306936
89,posted,,,ACC-4065652575,PAYMENT,Lucas,2335.35,2018-08-01,M,21,,,2018-08-01T16:00:00.000+0000,55.0,CUS-1117979751,debit,115.81,-31.82,,,2018-08,Wednesday,
90,posted,,0,ACC-3485804958,PAY/SALARY,Jessica,16433.32,2018-08-01,F,34,,,2018-08-01T16:00:00.000+0000,3903.73,CUS-1196156254,credit,138.52,-35.01,,,2018-08,Wednesday,
91,posted,,,ACC-1799207998,PAYMENT,Susan,8.06,2018-08-01,F,20,,,2018-08-01T16:00:00.000+0000,35.0,CUS-164374203,debit,150.68,-33.79,,,2018-08,Wednesday,
92,posted,,0,ACC-1973887809,PAY/SALARY,Antonio,1796.37,2018-08-01,M,26,,,2018-08-01T16:00:00.000+0000,1098.91,CUS-1646621553,credit,115.78,-31.9,,,2018-08,Wednesday,
93,posted,,0,ACC-4059612845,PAY/SALARY,Jonathan,50383.16,2018-08-01,M,38,,,2018-08-01T16:00:00.000+0000,2647.38,CUS-495599312,credit,130.98,-12.49,,,2018-08,Wednesday,
94,authorized,1.0,,ACC-1608363396,POS,Robert,1691.91,2018-08-01,M,20,Newtown,NSW,2018-08-01T16:12:00.000+0000,13.52,CUS-2688605418,debit,151.22,-33.87,151.18,-33.9,2018-08,Wednesday,4.9768731804855575
95,authorized,0.0,,ACC-1799207998,POS,Susan,43.06,2018-08-01,F,20,Brookvale,NSW,2018-08-01T16:28:40.000+0000,76.82,CUS-164374203,debit,150.68,-33.79,151.27,-33.77,2018-08,Wednesday,54.57580552512028
96,authorized,0.0,,ACC-3879258709,POS,Natasha,186344.95,2018-08-01,F,40,Ballarat,VIC,2018-08-01T16:45:20.000+0000,26.91,CUS-527400765,debit,143.83,-37.66,143.81,-37.55,2018-08,Wednesday,12.357802513161905
97,posted,,0,ACC-819621312,PAY/SALARY,Michele,1244.45,2018-08-01,F,30,,,2018-08-01T17:00:00.000+0000,1158.15,CUS-1271030853,credit,145.04,-37.85,,,2018-08,Wednesday,
98,posted,,0,ACC-2920611728,PAY/SALARY,Tyler,1969.05,2018-08-01,M,69,,,2018-08-01T17:00:00.000+0000,1043.12,CUS-1388323263,credit,144.96,-37.76,,,2018-08,Wednesday,
99,posted,,,ACC-2901672282,PAYMENT,Daniel,1162.08,2018-08-01,M,22,,,2018-08-01T17:00:00.000+0000,33.0,CUS-1617121891,debit,255.0,-573.0,,,2018-08,Wednesday,
100,posted,,0,ACC-1799207998,PAY/SALARY,Susan,1403.55,2018-08-01,F,20,,,2018-08-01T17:00:00.000+0000,1395.49,CUS-164374203,credit,150.68,-33.79,,,2018-08,Wednesday,
101,posted,,0,ACC-1349834573,PAY/SALARY,Matthew,7094.77,2018-08-01,M,39,,,2018-08-01T17:00:00.000+0000,3071.14,CUS-1790886359,credit,145.17,-37.84,,,2018-08,Wednesday,
102,posted,,,ACC-4163822186,PAYMENT,Karen,3021.94,2018-08-01,F,26,,,2018-08-01T17:00:00.000+0000,50.0,CUS-2630892467,debit,149.03,-34.97,,,2018-08,Wednesday,
103,posted,,,ACC-958000567,PAYMENT,Sandra,300.09,2018-08-01,F,34,,,2018-08-01T17:00:00.000+0000,168.0,CUS-4142663097,debit,130.9,-12.37,,,2018-08,Wednesday,
104,authorized,0.0,,ACC-854938045,POS,James,6941.78,2018-08-01,M,28,Junee,NSW,2018-08-01T17:01:07.000+0000,22.59,CUS-4023861240,debit,147.63,-22.84,147.59,-34.86,2018-08,Wednesday,1336.5687093091358
105,authorized,1.0,,ACC-1279356312,SALES-POS,Tyler,1067.36,2018-08-01,M,44,Reservoir,VIC,2018-08-01T17:10:33.000+0000,15.28,CUS-1892177589,debit,144.79,-37.73,145.01,-37.72,2018-08,Wednesday,19.381096321499946
106,authorized,1.0,,ACC-574997646,SALES-POS,Mackenzie,189.55,2018-08-01,F,18,Robertson,SA,2018-08-01T17:20:00.000+0000,5.62,CUS-586638664,debit,150.79,-33.64,139.0,-33.97,2018-08,Wednesday,1089.36463697193
107,authorized,1.0,,ACC-1443681913,SALES-POS,Ryan,492.41,2018-08-01,M,31,Haymarket,NSW,2018-08-01T17:38:52.000+0000,93.79,CUS-3129499595,debit,150.92,-33.77,151.21,-33.88,2018-08,Wednesday,29.449562226424344
108,authorized,1.0,,ACC-1650504218,SALES-POS,Marissa,2025.72,2018-08-01,F,23,Croydon,VIC,2018-08-01T17:48:18.000+0000,14.86,CUS-2500783281,debit,145.01,-37.93,145.28,-37.79,2018-08,Wednesday,28.35840283414046
109,authorized,1.0,,ACC-958000567,SALES-POS,Sandra,468.09,2018-08-01,F,34,Yarrawonga,NT,2018-08-01T17:57:44.000+0000,18.59,CUS-4142663097,debit,130.9,-12.37,130.98,-12.47,2018-08,Wednesday,14.110940264422403
110,posted,,,ACC-2153562714,PAYMENT,Linda,860.46,2018-08-01,F,24,,,2018-08-01T18:00:00.000+0000,46.0,CUS-423725039,debit,116.0,-31.88,,,2018-08,Wednesday,
111,authorized,1.0,,ACC-1598451071,POS,Diana,1006.85,2018-08-01,F,26,Bundall,QLD,2018-08-01T18:19:29.000+0000,10.67,CUS-2487424745,debit,153.41,-27.95,153.41,-28.01,2018-08,Wednesday,6.671636214175957
112,authorized,0.0,,ACC-90814749,SALES-POS,Christopher,6022.68,2018-08-01,M,35,Peterborough,SA,2018-08-01T18:45:07.000+0000,19.58,CUS-1896554896,debit,151.68,-32.98,138.84,-32.97,2018-08,Wednesday,1197.000309961983
113,posted,,,ACC-1349834573,PAYMENT,Matthew,7046.77,2018-08-01,M,39,,,2018-08-01T19:00:00.000+0000,48.0,CUS-1790886359,debit,145.17,-37.84,,,2018-08,Wednesday,
114,authorized,1.0,,ACC-964839203,SALES-POS,Michael,27984.9,2018-08-01,M,21,Lavington,NSW,2018-08-01T19:04:09.000+0000,26.75,CUS-2059096722,debit,146.92,-36.07,146.97,-36.04,2018-08,Wednesday,5.597551107731948
115,authorized,1.0,,ACC-80388494,POS,Dustin,823.53,2018-08-01,M,28,Docklands,VIC,2018-08-01T19:14:03.000+0000,9.21,CUS-1140341822,debit,144.97,-37.42,144.94,-37.82,2018-08,Wednesday,44.556545978316386
116,authorized,1.0,,ACC-3485804958,POS,Jessica,16421.78,2018-08-01,F,34,North Wagga Wagga,NSW,2018-08-01T19:23:57.000+0000,11.54,CUS-1196156254,debit,138.52,-35.01,147.38,-35.1,2018-08,Wednesday,806.2716749506204
